County,State,R0
Effingham,Georgia,0.7105083778391345
Glynn,Georgia,0.7239824061718882
Laurens,Georgia,0.7151629242386659
Peach,Georgia,0.7080300135635745
Rockdale,Georgia,0.7044924039454005
Owen,Indiana,0.7342671176588238
Tippecanoe,Indiana,0.6976589299232204
Wayne,Indiana,0.6935066297902398
Dubuque,Iowa,0.6680507200733087
Muscatine,Iowa,0.6536406635742323
Cherokee,Kansas,0.7541144107727149
Linn,Kansas,0.7657890661387496
Morris,Kansas,-117.2403298541879
Sedgwick,Kansas,0.6921763759906451
Christian,Kentucky,0.6982358035072406
Daviess,Kentucky,0.697086359448245
Henderson,Kentucky,0.6699014048108066
Pulaski,Kentucky,0.7144003799583345
Scott,Kentucky,0.7210798288845426
Unknown,Kentucky,0.7310344859869834
Assumption,Louisiana,0.696918759154052
Calcasieu,Louisiana,0.6967263563640889
Iberia,Louisiana,0.6909732574617499
Iberville,Louisiana,0.6854953710474101
Lafayette,Louisiana,0.7099081746097804
Livingston,Louisiana,0.698596589460069
Plaquemines,Louisiana,0.7077372258886802
St. James,Louisiana,0.7114579658842255
St. Landry,Louisiana,0.7038584921730827
Webster,Louisiana,0.7095674696296039
West Baton Rouge,Louisiana,0.7112284633983373
Calvert,Maryland,0.6955756898109462
Wicomico,Maryland,0.5469000379400758
Hampshire,Massachusetts,0.6822478268483096
Clinton,Michigan,0.7096201415058893
Eaton,Michigan,0.7095670851633108
Genesee,Michigan,0.6867862501111112
Livingston,Michigan,0.7072740072278794
Midland,Michigan,0.7082089180351704
Mower,Minnesota,0.7349495464530501
Scott,Minnesota,0.7155160831024366
Holmes,Mississippi,0.6520586333735748
Jones,Mississippi,0.6104661383193044
Scott,Mississippi,0.5951643623854023
Walthall,Mississippi,0.7183032166205684
Wilkinson,Mississippi,0.7092573809760583
Winston,Mississippi,0.6978832151453567
Yazoo,Mississippi,0.6796621972951323
Broadwater,Montana,0.7779368071753542
Flathead,Montana,0.7234280515574834
Madison,Montana,0.7526970691919481
Roosevelt,Montana,-211779.78229974967
Nemaha,Nebraska,0.9762611622455607
Elko,Nevada,0.7394832746544201
